names,num
Samuel L. Jackson,57
Morgan Freeman,45
Bruce Willis,42
Scarlett Johansson,41
Willem Dafoe,40
Nicolas Cage,40
J.K. Simmons,40
Robert De Niro,38
Ewan McGregor,37
Woody Harrelson,37
Owen Wilson,37
James Franco,37
Jason Statham,36
Paul Giamatti,36
Cate Blanchett,36
Mark Wahlberg,36
Antonio Banderas,36
Richard Jenkins,36
Steve Buscemi,35
Charlize Theron,35
Nicole Kidman,35
Colin Farrell,35
Stanley Tucci,34
Matt Damon,34
Akshay Kumar,34
Mark Ruffalo,34
Dwayne Johnson,34
Ben Kingsley,34
Ryan Reynolds,33
Adam Sandler,33
Jonah Hill,33
Liam Neeson,33
Will Ferrell,33
Jude Law,32
Gerard Butler,32
Tom Wilkinson,32
Steve Carell,32
Michael Peña,32
Alec Baldwin,31
Seth Rogen,31
Christian Bale,31
Julianne Moore,31
Michael Shannon,31
Eddie Marsan,31
Bill Nighy,30
Matthew McConaughey,30
Channing Tatum,30
Dennis Quaid,30
Justin Long,30
Mark Strong,30
Michael Caine,30
Paul Rudd,30
Anne Hathaway,30
John Goodman,30
Naomi Watts,30
Ben Affleck,30
Anna Kendrick,30
Shah Rukh Khan,29
Ben Stiller,29
Colin Firth,29
Bill Hader,29
Toby Jones,29
Johnny Depp,29
Kristen Stewart,28
Elizabeth Banks,28
John Cusack,28
Jake Gyllenhaal,28
Ciarán Hinds,28
Kristen Wiig,28
Catherine Keener,28
Jason Bateman,28
Ralph Fiennes,28
Brian Cox,28
John C. Reilly,28
Keanu Reeves,28
Jack Black,28
Robert Downey Jr.,28
Keira Knightley,28
Danny Huston,28
Stephen Root,27
Bruce Greenwood,27
Patrick Wilson,27
Greg Kinnear,27
Luis Guzmán,27
Brad Pitt,27
James Marsden,27
Chris Evans,27
Rosario Dawson,27
David Koechner,27
Sam Rockwell,27
Bradley Cooper,27
Amy Adams,27
Anthony Mackie,27
Shea Whigham,27
Idris Elba,27
Rachel Weisz,27
Hugh Jackman,27
Anthony Hopkins,27
Keith David,26
Maya Rudolph,26
Christopher Plummer,26
Jim Broadbent,26
Michael Fassbender,26
Stellan Skarsgård,26
Rose Byrne,26
Zoe Saldana,26
Brendan Gleeson,26
Alan Tudyk,26
James McAvoy,26
Laurence Fishburne,26
Kate Winslet,26
John Leguizamo,26
Joseph Gordon-Levitt,26
Jesse Eisenberg,26
Ethan Hawke,26
Meryl Streep,26
Patricia Clarkson,26
Aaron Eckhart,26
Octavia Spencer,26
Will Arnett,26
Jennifer Garner,25
John Malkovich,25
Susan Sarandon,25
Steve Zahn,25
Tom Hanks,25
Zach Galifianakis,25
Bill Murray,25
Paul Bettany,25
Natalie Portman,25
Kathryn Hahn,25
George Clooney,25
Anupam Kher,25
Peter Stormare,25
Joan Cusack,25
Steve Coogan,25
Ben Foster,25
Rachel McAdams,25
Judy Greer,25
Jennifer Aniston,25
Emily Blunt,25
Gary Oldman,25
Luke Wilson,25
Allison Janney,25
Terry Crews,24
Peter Sarsgaard,24
Cedric the Entertainer,24
Djimon Hounsou,24
Helen Mirren,24
Maria Bello,24
Jamie Foxx,24
Amy Poehler,24
Viola Davis,24
Jackie Chan,24
Forest Whitaker,24
Marisa Tomei,24
Toni Collette,24
Oscar Isaac,24
Chloë Grace Moretz,24
John Hurt,24
Danny Glover,24
Ken Jeong,23
Tommy Lee Jones,23
Zac Efron,23
Bobby Cannavale,23
Shia LaBeouf,23
Ed Harris,23
Rob Corddry,23
Russell Crowe,23
Robert Patrick,23
Reese Witherspoon,23
Amanda Seyfried,23
Christopher Walken,23
Nick Offerman,23
Cameron Diaz,23
Tilda Swinton,23
Vera Farmiga,23
Pierce Brosnan,23
Angelina Jolie,23
Marcia Gay Harden,23
Ryan Gosling,23
Kate Hudson,23
Billy Bob Thornton,23
Anna Faris,23
Kevin Hart,23
Terrence Howard,23
Olivia Wilde,22
Jean Reno,22
Vin Diesel,22
Giovanni Ribisi,22
Alfred Molina,22
Ian McShane,22
Denzel Washington,22
Kevin Spacey,22
Ray Liotta,22
Vince Vaughn,22
Margo Martindale,22
Joaquin Phoenix,22
Toby Kebbell,22
Guy Pearce,22
Will Smith,22
Bill Camp,22
Jason Clarke,22
Rosamund Pike,22
Emma Thompson,22
Emily Mortimer,22
Josh Brolin,22
Amitabh Bachchan,22
Jeffrey Wright,22
Danny Trejo,22
Timothy Spall,22
Simon Pegg,22
Jessica Biel,22
Elle Fanning,22
Jason Sudeikis,22
Juno Temple,21
Kirsten Dunst,21
Chris Cooper,21
Seann William Scott,21
Philip Seymour Hoffman,21
Amanda Peet,21
Clive Owen,21
Mads Mikkelsen,21
Kathy Bates,21
Helena Bonham Carter,21
Katrina Kaif,21
Jessica Alba,21
Mike Epps,21
Chris Pine,21
Ben Mendelsohn,21
Adam Scott,21
Bryan Cranston,21
Chris Hemsworth,21
Benedict Cumberbatch,21
Vincent D'Onofrio,21
Sean Bean,21
Kevin Costner,21
Daniel Radcliffe,21
Daniel Craig,21
Val Kilmer,21
Clark Gregg,21
Kristen Bell,21
