,actor,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit
0,50 Cent,7,227000000.0,32428571.42857143,439019372,62717053.14285714,439019372,62717053.14285714,-33192070.0,-4741724.285714285,212019372.0,30288481.714285713
1,A. Cheron Hall,1,25000000.0,25000000.0,30893885,30893885.0,30893885,30893885.0,-5471398.0,-5471398.0,5893885.0,5893885.0
2,A. Delon Ellis Jr.,1,32000000.0,32000000.0,44102389,44102389.0,44102389,44102389.0,8222729.0,8222729.0,12102389.0,12102389.0
3,A. Jay Radcliff,1,60000000.0,60000000.0,204594016,204594016.0,204594016,204594016.0,20574010.0,20574010.0,144594016.0,144594016.0
4,A. Russell Andrews,2,73000000.0,36500000.0,81591954,40795977.0,81591954,40795977.0,-18736380.0,-9368190.0,8591954.0,4295977.0
5,A.C. Peterson,5,208000000.0,41600000.0,204800090,40960018.0,204800090,40960018.0,-114014634.0,-22802926.8,-3199910.0,-639982.0
6,A.D. Miles,2,33000000.0,16500000.0,92944625,46472312.5,92944625,46472312.5,34589476.0,17294738.0,59944625.0,29972312.5
7,A.J. Benza,1,24000000.0,24000000.0,155929020,155929020.0,155929020,155929020.0,46270943.0,46270943.0,131929020.0,131929020.0
8,A.J. Buckley,1,200000000.0,200000000.0,332207671,332207671.0,332207671,332207671.0,-76912880.0,-76912880.0,132207671.0,132207671.0
9,A.J. Cook,2,50000000.0,25000000.0,105723805,52861902.5,105723805,52861902.5,10867608.0,5433804.0,55723805.0,27861902.5
10,A.J. Foyt IV,1,50000000.0,50000000.0,111069515,111069515.0,111069515,111069515.0,30270227.0,30270227.0,61069515.0,61069515.0
11,A.J. Johnson,1,16000000.0,16000000.0,29381649,29381649.0,29381649,29381649.0,12734552.0,12734552.0,13381649.0,13381649.0
12,A.J. Tecce,1,99000000.0,99000000.0,246233113,246233113.0,246233113,246233113.0,31178411.0,31178411.0,147233113.0,147233113.0
