,actor,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit
595,Alec Baldwin,31,2099571700.0,67728119.35483871,6108473915,197047545.6451613,6108473915,197047545.6451613,397596421.0,12825691.0,4008902215.0,129319426.29032259
4161,Cate Blanchett,32,2174400000.0,67950000.0,8495900728,265496897.75,8495900728,265496897.75,945630571.0,29550955.34375,6321500728.0,197546897.75
4416,Charlize Theron,30,1827000000.0,60900000.0,4507087094,150236236.46666667,4507087094,150236236.46666667,-184259012.0,-6141967.066666666,2680087094.0,89336236.46666667
5204,Colin Farrell,31,1483499682.4635026,47854828.4665646,3096372637,99882988.29032259,3096372637,99882988.29032259,-260271902.46350265,-8395867.821403312,1612872954.5364974,52028159.82375798
7161,Dwayne Johnson,33,2966000000.0,89878787.87878788,11938007147,361757792.3333333,11938007147,361757792.3333333,1173334549.0,35555592.39393939,8972007147.0,271879004.45454544
8248,Ewan McGregor,32,1871159282.4635026,58473727.57698446,5492775293,171649227.90625,5492775293,171649227.90625,246243028.53649735,7695094.641765542,3621616010.536497,113175500.32926553
10657,J.K. Simmons,36,2143500000.0,59541666.666666664,7637773609,212160378.0277778,7637773609,212160378.0277778,955874947.0,26552081.861111112,5494273609.0,152618711.3611111
11476,Jason Statham,31,1811172517.761097,58424919.92777732,6551551951,211340385.51612905,6551551951,211340385.51612905,80329640.23890305,2591278.717383969,4740379433.238903,152915465.5883517
15605,Liam Neeson,31,1943500000.0,62693548.38709678,4882938787,157514154.41935483,4882938787,157514154.41935483,-90843560.0,-2930437.419354839,2939438787.0,94820606.03225806
17012,Mark Ruffalo,31,2437120200.0,78616780.64516129,10928409087,352529325.38709676,10928409087,352529325.38709676,1497110823.0,48293897.51612903,8491288887.0,273912544.7419355
17031,Mark Wahlberg,34,2165000000.0,63676470.5882353,6156687603,181079047.1470588,6156687603,181079047.1470588,658238449.0,19359954.38235294,3991687603.0,117402576.55882353
17352,Matt Damon,33,2239800000.0,67872727.27272727,5336500588,161712139.03030303,5336500588,161712139.03030303,159256263.0,4825947.363636363,3096700588.0,93839411.75757575
18804,Morgan Freeman,36,2602000000.0,72277777.77777778,8034370103,223176947.30555555,8034370103,223176947.30555555,991064823.0,27529578.416666668,5432370103.0,150899169.5277778
19443,Nicolas Cage,33,1859000000.0,56333333.333333336,3883260305,117674554.6969697,3883260305,117674554.6969697,-182666263.0,-5535341.303030303,2024260305.0,61341221.36363637
19469,Nicole Kidman,32,1474800000.0,46087500.0,3722393021,116324781.90625,3722393021,116324781.90625,-30883928.0,-965122.75,2247593021.0,70237281.90625
19953,Owen Wilson,35,2194200000.0,62691428.571428575,5901526510,168615043.14285713,5901526510,168615043.14285713,695884563.0,19882416.085714284,3707326510.0,105923614.57142857
20295,Paul Giamatti,30,1531503761.8131998,51050125.393773325,4262302211,142076740.36666667,4262302211,142076740.36666667,389185353.18680024,12972845.106226675,2730798449.1868,91026614.97289333
21714,Richard Jenkins,32,1378200000.0,43068750.0,2910284023,90946375.71875,2910284023,90946375.71875,-52930497.0,-1654078.03125,1532084023.0,47877625.71875
22001,Robert De Niro,34,1560941400.0,45910041.176470585,4793777588,140993458.47058824,4793777588,140993458.47058824,612628168.0,18018475.529411763,3232836188.0,95083417.29411764
22958,Samuel L. Jackson,49,4029600850.0,82236752.04081632,15573999274,317836719.877551,15573999274,317836719.877551,2298439624.0,46906931.10204082,11544398424.0,235599967.83673468
23230,Scarlett Johansson,37,2873500000.0,77662162.16216215,14126369514,381793770.6486486,14126369514,381793770.6486486,2249468709.0,60796451.5945946,11252869514.0,304131608.4864865
23499,Seth Rogen,30,1781750000.0,59391666.666666664,6450324903,215010830.1,6450324903,215010830.1,1081156953.0,36038565.1,4668574903.0,155619163.43333334
24399,Steve Carell,31,1517000000.0,48935483.87096774,6842506043,220726001.38709676,6842506043,220726001.38709676,1529146247.0,49327298.29032258,5325506043.0,171790517.51612905
26706,Will Ferrell,31,1638500000.0,52854838.70967742,3531754632,113927568.77419356,3531754632,113927568.77419356,770041386.0,24840044.70967742,1893254632.0,61072730.06451613
26867,Woody Harrelson,33,2019300000.0,61190909.09090909,7092434904,214922269.8181818,7092434904,214922269.8181818,780060342.0,23638192.181818184,5073134904.0,153731360.72727272
