,Unnamed: 0,country,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit,code,best_film,poster
0,0,Afghanistan,1,20000000.0,20000000.0,75011029,75011029.0,75011029,75011029.0,-4199922.0,-4199922.0,55011029.0,55011029.0,AFG,Il cacciatore di aquiloni,https://aforismi.meglio.it/img/film/il-cacciatore-di-aquiloni.jpg
1,1,Algeria,1,16096450.0,16096450.0,22963701,22963701.0,22963701,22963701.0,-15775750.0,-15775750.0,6867251.0,6867251.0,DZA,Days of Glory,https://cdn.shopify.com/s/files/1/0747/3829/products/HP2565_6434f90b-994d-4c02-96c7-67341b610e81_1024x1024.jpg
2,2,Angola,1,500000.0,500000.0,101729,101729.0,101729,101729.0,-399630.0,-399630.0,-398271.0,-398271.0,AGO,Rubber,https://i.pinimg.com/736x/56/9a/3c/569a3cb545ee2040e5ff8215e27593c0--tire-movie-movie-tv.jpg
3,3,Argentina,17,162232387.22518800,9543081.601481660,391307270,23018074.70588240,391307270,23018074.70588240,-81594531.22518820,-4799678.307364010,229074882.77481200,13474993.104400700,ARG,Dancer in the Dark,https://i.jeded.com/i/dancer-in-the-dark.11408.jpg
4,4,Australia,125,7064687229.973030,56517497.83978420,19705530424,157644243.392,19705530424,157644243.392,638510165.0269740,5108081.32021579,12640843194.027000,101126745.55221600,AUS,Driven,https://fbwebsitedefaultstorage.blob.core.windows.net/prod-film/32659/uk/ext/driven-poster.jpg
5,5,Austria,13,596860938.2316030,45912379.86396950,1897507730,145962133.07692300,1897507730,145962133.07692300,-145589919.23160300,-11199224.556277200,1300646791.7684000,100049753.21295400,AUT,La caduta - Gli ultimi giorni di Hitler,http://users.telenet.be/nowh3r32h1d3/images/13190f.jpg
6,6,Bahamas,1,150000000.0,150000000.0,616501619,616501619.0,616501619,616501619.0,17445960.0,17445960.0,466501619.0,466501619.0,BHS,Casino Royale,https://picfiles.alphacoders.com/349/349733.jpg
7,7,Bahrain,1,14700000.0,14700000.0,14603177,14603177.0,14603177,14603177.0,-13111985.0,-13111985.0,-96823.0,-96823.0,BHR,"New York, I Love You",http://images2.fanpop.com/images/photos/8200000/Official-Poster-new-york-i-love-you-8236556-1728-2560.jpg
8,8,Belgium,66,1333042784.3632000,20197617.944897000,2560758558,38799372.09090910,2560758558,38799372.09090910,-738818766.3632000,-11194223.732775800,1227715773.6368000,18601754.146012100,BEL,Dancer in the Dark,https://i.jeded.com/i/dancer-in-the-dark.11408.jpg
9,9,Bosnia and Herzegovina,2,27220200.0,13610100.0,12532902,6266451.0,12532902,6266451.0,-25238178.0,-12619089.0,-14687298.0,-7343649.0,BIH,No Man's Land,http://2.bp.blogspot.com/-J56DDWff6cM/T2w14sdqWfI/AAAAAAAAASk/kb2Y3KPKf1Q/s1600/No-Mans-Land-Poster.jpg
10,10,Brazil,13,351356372.7593430,27027413.28918020,1334865659,102681973.76923100,1334865659,102681973.76923100,60312613.24065720,4639431.787742860,983509286.2406570,75654560.48005060,BRA,Carandiru,https://i.pinimg.com/originals/b0/33/81/b03381d43ee9676cc56a3490f85016ec.jpg
11,11,British Virgin Islands,1,40000000.0,40000000.0,42883181,42883181.0,42883181,42883181.0,-39870922.0,-39870922.0,2883181.0,2883181.0,VGB,The Warlords - La battaglia dei tre guerrieri,https://thmoviehdd.com/wp-content/uploads/2019/11/The-Warlords-2007-3-อหังการ์-เจ้าสุริยา.jpg
12,12,Bulgaria,18,934017778.2,51889876.56666670,2176769398,120931633.22222200,2176769398,120931633.22222200,-196443000.20000000,-10913500.011111100,1242751619.8,69041756.65555560,BGR,300,https://www.panicposters.com/media/catalog/product/cache/1/image/600x842.40687679083/9df78eab33525d08d6e5fb8d27136e95/g/p/gpp51015-300-tonight.jpg
13,13,Cambodia,2,78000000.0,39000000.0,204337248,102168624.0,204337248,102168624.0,25358309.0,12679154.5,126337248.0,63168624.0,KHM,Trafficanti,http://www.benitomovieposter.com/catalog/images/movieposter/41641.jpg
14,14,Canada,399,17900515485.12190,44863447.331132600,49667120244,124478998.10526300,49667120244,124478998.10526300,2176382428.87809,5454592.553579170,31766604758.87810,79615550.77413060,CAN,Frida,http://i.imgur.com/PZ6JESM.jpg
15,15,Cayman Islands,1,230000.0,230000.0,2260712,2260712.0,2260712,2260712.0,-125021.0,-125021.0,2030712.0,2030712.0,CYM,Bronson,https://flxt.tmsimg.com/assets/p196299_p_v8_aa.jpg
16,16,Chile,5,41000000.0,8200000.0,61291921,12258384.2,61291921,12258384.2,-14690362.0,-2938072.4,20291921.0,4058384.2,CHL,Machuca,https://i.pinimg.com/originals/4a/56/95/4a5695998c973b3f1c87bbf1b12d3976.jpg
